ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2021-11-10,34783.328413238734,9175.843661861929,49366.67873692274,34783.328413238734,34783.328413238734,-5409.1199695461255,-5409.1199695461255,-5409.1199695461255,-5409.1199695461255,-5409.1199695461255,-5409.1199695461255,0.0,0.0,0.0,29374.20844369261
2021-11-11,35342.775129299094,8500.08090659068,46812.43029944157,35342.775129299094,35342.775129299094,-7697.264208558001,-7697.264208558001,-7697.264208558001,-7697.264208558001,-7697.264208558001,-7697.264208558001,0.0,0.0,0.0,27645.510920741093
2021-11-12,35902.221845359454,19611.001942396302,58460.6639619715,35902.221845359454,35902.221845359454,3562.5837617216316,3562.5837617216316,3562.5837617216316,3562.5837617216316,3562.5837617216316,3562.5837617216316,0.0,0.0,0.0,39464.805607081085
2021-11-13,36375.300895120876,29593.072771872696,67903.89980328403,36375.300895120876,36375.300895120876,11527.129768645693,11527.129768645693,11527.129768645693,11527.129768645693,11527.129768645693,11527.129768645693,0.0,0.0,0.0,47902.43066376657
2021-11-14,36848.37994488229,19911.24552618824,59424.46973598891,36848.37994488229,36848.37994488229,3120.254528667606,3120.254528667606,3120.254528667606,3120.254528667606,3120.254528667606,3120.254528667606,0.0,0.0,0.0,39968.63447354989
2021-11-15,37321.458994643726,15060.782235566145,52940.340201299136,37321.458994643726,37321.458994643726,-3163.091025774724,-3163.091025774724,-3163.091025774724,-3163.091025774724,-3163.091025774724,-3163.091025774724,0.0,0.0,0.0,34158.367968869
2021-11-16,37794.53804440514,18127.15524544203,54011.47018175958,37794.53804440514,37794.53804440514,-1940.4928551316889,-1940.4928551316889,-1940.4928551316889,-1940.4928551316889,-1940.4928551316889,-1940.4928551316889,0.0,0.0,0.0,35854.04518927345
2021-11-17,38174.03040863523,13031.758395052662,52696.85347748567,38174.03040863523,38174.03040863523,-5409.1199695518735,-5409.1199695518735,-5409.1199695518735,-5409.1199695518735,-5409.1199695518735,-5409.1199695518735,0.0,0.0,0.0,32764.91043908336
2021-11-18,38553.52277286532,13028.18167687753,50738.90392709115,38553.52277286532,38553.52277286532,-7697.264208553139,-7697.264208553139,-7697.264208553139,-7697.264208553139,-7697.264208553139,-7697.264208553139,0.0,0.0,0.0,30856.25856431218
2021-11-19,38933.0151370954,24023.67413454866,62825.23568876047,38933.0151370954,38933.0151370954,3562.5837617327484,3562.5837617327484,3562.5837617327484,3562.5837617327484,3562.5837617327484,3562.5837617327484,0.0,0.0,0.0,42495.598898828146
2021-11-20,39312.5075013255,30891.47746371198,71635.93086843373,39312.5075013255,39312.5075013255,11527.129768644983,11527.129768644983,11527.129768644983,11527.129768644983,11527.129768644983,11527.129768644983,0.0,0.0,0.0,50839.63726997048
2021-11-21,39548.533009598184,21871.251269260836,62796.624490601724,39548.533009598184,39548.533009598184,3120.2545286596887,3120.2545286596887,3120.2545286596887,3120.2545286596887,3120.2545286596887,3120.2545286596887,0.0,0.0,0.0,42668.78753825787
2021-11-22,39784.55851787087,17045.13905952456,57472.56794791701,39784.55851787087,39784.55851787087,-3163.0910257751652,-3163.0910257751652,-3163.0910257751652,-3163.0910257751652,-3163.0910257751652,-3163.0910257751652,0.0,0.0,0.0,36621.467492095704
2021-11-23,40020.584026143566,18450.13012420164,56853.406975023194,40020.584026143566,40020.584026143566,-1940.4928551312344,-1940.4928551312344,-1940.4928551312344,-1940.4928551312344,-1940.4928551312344,-1940.4928551312344,0.0,0.0,0.0,38080.09117101233
2021-11-24,40256.60953441625,15468.653089821923,53068.30892410951,40256.60953441625,40256.60953441625,-5409.119969555792,-5409.119969555792,-5409.119969555792,-5409.119969555792,-5409.119969555792,-5409.119969555792,0.0,0.0,0.0,34847.48956486046
2021-11-25,40367.976572978856,15900.113845448444,51471.48728710483,40367.976572978856,40367.976572978856,-7697.264208550402,-7697.264208550402,-7697.264208550402,-7697.264208550402,-7697.264208550402,-7697.264208550402,0.0,0.0,0.0,32670.712364428455
2021-11-26,40479.343611541466,23023.929881411357,63112.361392331855,40479.343611541466,40479.343611541466,3562.583761685893,3562.583761685893,3562.583761685893,3562.583761685893,3562.583761685893,3562.583761685893,0.0,0.0,0.0,44041.92737322736
2021-11-27,40590.710650104076,32560.086885336346,71633.31234042144,40590.710650104076,40590.710650104076,11527.129768644278,11527.129768644278,11527.129768644278,11527.129768644278,11527.129768644278,11527.129768644278,0.0,0.0,0.0,52117.840418748354
2021-11-28,40702.07768866668,22993.15580184047,63437.11082726369,40702.07768866668,40702.07768866668,3120.25452865111,3120.25452865111,3120.25452865111,3120.25452865111,3120.25452865111,3120.25452865111,0.0,0.0,0.0,43822.33221731779
2021-11-29,40723.435785936264,17348.362879512144,56751.23864218523,40723.435785936264,40723.435785936264,-3163.0910257758896,-3163.0910257758896,-3163.0910257758896,-3163.0910257758896,-3163.0910257758896,-3163.0910257758896,0.0,0.0,0.0,37560.34476016038
2021-11-30,40744.793883205835,19318.79191320115,58908.14592508564,40744.793883205835,40744.793883205835,-1940.4928551313656,-1940.4928551313656,-1940.4928551313656,-1940.4928551313656,-1940.4928551313656,-1940.4928551313656,0.0,0.0,0.0,38804.30102807447
2021-12-01,40766.15198047542,15795.75449069527,53115.63083817176,40766.15198047542,40766.15198047542,-5409.119969536069,-5409.119969536069,-5409.119969536069,-5409.119969536069,-5409.119969536069,-5409.119969536069,0.0,0.0,0.0,35357.03201093935
2021-12-02,40757.35158386559,13503.675436266243,50328.082413649056,40757.35158386559,40757.35158386559,-7697.264208547665,-7697.264208547665,-7697.264208547665,-7697.264208547665,-7697.264208547665,-7697.264208547665,0.0,0.0,0.0,33060.087375317926
2021-12-03,40748.55118725576,24287.848917723422,62665.92237465878,40748.55118725576,40748.55118725576,3562.583761697009,3562.583761697009,3562.583761697009,3562.583761697009,3562.583761697009,3562.583761697009,0.0,0.0,0.0,44311.13494895277
